2,2,524;0
3,1,888;0
1,2,677;0
3,3,542;0
3,2,519;0
3,3,387;1
1,2,765;0
3,3,514;0
2,2,803;0
1,3,500;0
3,1,266;1
3,1,617;0
1,1,773;0
2,1,838;0
2,3,425;1
3,1,764;0
3,2,542;0
1,1,591;0
2,2,427;1
1,1,439;0
3,3,695;0
1,1,828;0
3,1,676;0
3,1,430;1
1,2,393;0
1,2,584;0
1,2,255;1
3,3,808;0
2,3,554;0
2,1,484;1
3,2,293;1
1,2,297;1
3,1,357;1
2,3,372;1
3,3,663;0
1,2,880;0
3,2,494;1
1,3,718;0
2,1,261;1
3,2,418;1
3,2,605;0
3,1,808;0
1,1,538;0
3,2,728;0
2,2,797;0
1,2,291;1
3,1,369;1
1,2,400;0
1,3,600;0
3,2,522;0
3,2,962;0
2,3,331;1
2,2,318;1
3,1,985;0
3,2,680;0
1,3,861;0
1,2,772;0
3,2,905;0
1,1,577;0
2,2,426;1
2,1,899;0
3,3,974;0
3,2,732;0
1,2,871;0
2,1,968;0
1,2,693;0
2,3,692;0
3,3,907;0
2,2,748;0
3,1,533;1
3,3,275;1
3,3,657;0
2,2,912;0
2,1,915;0
2,1,840;0
2,1,987;0
3,1,687;0
1,2,545;0
1,3,660;0
1,1,342;1
2,1,937;0
1,3,459;0
2,1,971;0
2,2,437;1
3,2,783;0
2,1,559;1
2,1,549;1
3,3,652;0
1,1,1000;0
3,2,379;1
1,1,545;0
2,3,268;1
1,1,345;1
3,1,607;0
2,2,785;0
1,3,847;0
2,2,328;1
3,3,772;0
3,1,464;1
1,2,440;0
1,3,334;0
1,3,840;0
1,2,649;0
1,2,946;0
2,1,283;1
2,2,765;0
1,3,983;0
3,2,796;0
1,2,339;1
1,1,956;0
2,2,690;0
3,3,963;0
2,2,731;0
3,2,519;0
3,2,442;1
1,1,874;0
3,2,769;0
2,3,983;0
3,1,384;1
2,1,524;1
2,1,758;0
2,2,743;0
2,1,294;1
3,3,289;1
1,3,640;0
3,3,329;1
1,1,420;0
2,1,697;0
3,2,804;0
2,2,628;0
3,1,949;0
1,3,749;0
1,2,448;0
2,2,595;0
3,1,530;1
1,3,776;0
2,2,729;0
3,3,512;0
2,1,516;1
1,2,988;0
2,1,831;0
2,1,800;0
2,2,344;1
1,2,769;0
3,2,459;1
2,3,904;0
2,2,498;1
2,3,779;0
3,1,439;1
2,3,926;0
3,2,572;0
2,2,870;0
2,3,329;1
3,1,785;0
2,1,884;0
3,1,451;1
1,2,431;0
2,2,513;0
3,2,360;1
2,3,917;0
1,2,876;0
3,2,274;1
2,3,642;0
1,2,784;0
1,3,262;1
2,1,626;0
2,2,260;1
2,3,254;1
3,3,516;0
1,1,408;0
2,1,903;0
3,1,662;0
1,3,487;0
2,1,620;0
2,3,469;0
1,3,460;0
3,1,803;0
3,3,514;0
3,3,698;0
3,2,440;1
1,1,986;0
1,1,923;0
3,3,508;0
2,1,594;1
2,3,399;1
1,2,445;0
2,3,685;0
1,3,409;0
2,1,568;1
1,1,592;0
1,2,560;0
1,1,520;0
3,3,613;0
2,3,487;0
3,3,390;1
1,2,834;0
2,1,707;0
3,3,603;0
1,2,428;0
3,3,375;1
3,3,538;0
1,1,993;0
1,3,365;0
3,2,716;0
3,2,450;1
2,3,380;1
3,3,543;0
1,3,562;0
2,3,484;0
2,1,274;1
1,1,845;0
3,1,516;1
3,2,662;0
2,2,593;0
2,2,963;0
3,2,285;1
3,1,771;0
1,1,544;0
2,1,405;1
2,2,737;0
2,1,823;0
2,1,351;1
1,2,847;0
1,2,276;1
2,2,816;0
2,1,920;0
2,1,778;0
3,1,404;1
2,3,751;0
2,1,370;1
1,3,853;0
2,3,464;0
1,1,996;0
1,1,509;0
1,1,680;0
3,1,554;1
1,2,858;0
2,3,328;1
2,1,701;0
2,3,749;0
2,2,599;0
3,1,629;0
2,3,757;0
2,1,364;1
2,1,967;0
2,2,931;0
3,2,918;0
1,2,340;1
1,3,652;0
1,1,412;0
2,2,491;1
2,2,546;0
1,3,517;0
1,2,334;1
3,1,797;0
2,1,760;0
2,2,812;0
2,1,814;0
2,3,571;0
2,1,595;1
2,2,478;1
1,2,831;0
1,1,682;0
